UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1603,L26555,L,300.73,312.83,1562,48.72,198,0,0,0,0,0,0
1604,L63294,L,303.34,314.0,1557,39.48,68,0,0,0,0,0,0
1605,L59777,L,298.23,309.58,1345,43.09,13,0,0,0,0,0,0
1606,L15906,L,299.03,308.13,1722,30.05,93,0,0,0,0,0,0
1607,L50751,L,300.42,310.53,1620,31.29,22,0,0,0,0,0,0
1608,M79599,M,301.76,312.13,1322,49.22,79,0,0,0,0,0,0
1609,L84180,L,300.36,309.13,1907,31.11,87,0,0,0,0,0,0
1610,L83678,L,302.57,314.0,1497,45.65,42,0,0,0,0,0,0
1611,M41644,M,298.68,310.83,1295,50.3,55,0,0,0,0,0,0
1612,M43521,M,297.72,310.48,1398,41.17,148,0,0,0,0,0,0
1613,L21564,L,300.62,310.27,1263,49.71,106,0,0,0,0,0,0
1614,L80640,L,299.85,310.66,1780,27.43,157,0,0,0,0,0,0
1615,L37299,L,301.09,313.11,1729,32.73,203,0,0,0,0,0,0
1616,M57958,M,299.95,310.39,1668,45.86,244,0,0,0,0,0,0
1617,H66078,H,299.32,309.45,1634,35.15,108,0,0,0,0,0,0
1618,M23421,M,299.85,308.68,1760,30.79,167,0,0,0,0,0,0
1619,L98747,L,300.06,311.89,1491,40.44,93,0,0,0,0,0,0
1620,M21202,M,299.39,310.07,1611,25.2,101,0,0,0,0,0,0
1621,L52185,L,299.59,309.56,1389,43.53,21,0,0,0,0,0,0
1622,L13685,L,299.19,310.18,1507,54.13,129,0,0,0,0,0,0
1623,L52637,L,301.71,312.57,1616,28.29,150,0,0,0,0,0,0
1624,H28366,H,300.39,311.26,1168,52.33,105,0,0,0,0,0,0
1625,L34276,L,304.5,314.0,1423,40.01,214,0,0,0,0,0,0
1626,M90946,M,300.32,312.64,1565,36.17,213,0,0,0,0,0,0
1627,L58239,L,298.9,309.46,1521,37.04,189,0,0,0,0,0,0
1628,L85214,L,304.5,314.0,1454,46.46,29,0,0,0,0,0,0
1629,L34575,L,300.83,312.09,1641,25.33,154,0,0,0,0,0,0
1630,L51401,L,301.98,313.03,1408,47.71,225,0,0,0,0,0,0
1631,M51230,M,301.18,311.77,1315,44.32,202,0,0,0,0,0,0
1632,L89424,L,301.25,312.92,1748,18.33,220,1,0,0,1,0,0
1633,M92263,M,301.07,311.88,1723,36.42,36,0,0,0,0,0,0
1634,M78617,M,297.8,307.56,1427,41.29,69,0,0,0,0,0,0
1635,H33021,H,300.74,310.47,1523,29.43,15,0,0,0,0,0,0
1636,L19449,L,297.35,308.47,1687,35.32,123,0,0,0,0,0,0
1637,L25657,L,299.65,309.44,1543,24.91,19,0,0,0,0,0,0
1638,L45059,L,298.55,309.19,1630,29.13,73,0,0,0,0,0,0
1639,H11532,H,300.71,312.47,1621,35.68,173,0,0,0,0,0,0
1640,H60805,H,300.67,311.67,1478,22.44,101,1,0,0,1,0,0
1641,L91551,L,300.96,310.94,1628,25.07,228,0,0,0,0,0,0
1642,M47756,M,300.57,312.68,1361,31.55,122,0,0,0,0,0,0
1643,L81880,L,298.79,310.03,1606,36.38,73,0,0,0,0,0,0
1644,M84642,M,299.48,311.2,1522,41.81,235,0,0,0,0,0,0
1645,L44206,L,301.84,310.27,1470,30.28,152,0,0,0,0,0,0
1646,M62168,M,302.14,313.17,1311,33.35,58,0,0,0,0,0,0
1647,L85188,L,297.71,309.25,1559,38.03,213,0,0,0,0,0,0
1648,M34550,M,296.94,309.34,1542,38.19,159,0,0,0,0,0,0
1649,M16389,M,298.55,307.78,1384,34.15,144,0,0,0,0,0,0
1650,M97897,M,302.09,314.0,1248,66.92,217,1,1,0,0,1,0
1651,L45847,L,302.43,314.0,1239,48.38,207,0,0,0,0,0,0
1652,L89239,L,298.15,306.83,1489,36.84,137,0,0,0,0,0,0
1653,L28642,L,300.61,311.79,1590,32.55,144,0,0,0,0,0,0
1654,L46509,L,303.67,314.0,1868,38.41,129,0,0,0,0,0,0
1655,L89417,L,300.83,311.2,1527,42.64,65,0,0,0,0,0,0
1656,H59237,H,302.84,313.05,1242,26.08,28,1,0,0,1,0,0
1657,L25414,L,302.0,313.37,1498,31.6,237,0,0,0,0,0,0
1658,L73176,L,298.18,308.26,1760,28.91,122,0,0,0,0,0,0
1659,L89865,L,299.62,310.1,1412,40.45,131,0,0,0,0,0,0
1660,L72059,L,300.07,311.58,1736,38.17,29,0,0,0,0,0,0
1661,M59150,M,300.21,312.66,1567,26.79,188,0,0,0,0,0,0
1662,L98367,L,301.83,313.07,1651,34.01,185,0,0,0,0,0,0
1663,H51091,H,300.82,311.65,1870,43.67,203,0,0,0,0,0,0
1664,L83124,L,295.0,305.18,1204,47.92,161,0,0,0,0,0,0
1665,H10903,H,297.37,307.06,1696,27.91,77,0,0,0,0,0,0
1666,M64235,M,295.63,307.43,1518,25.16,151,0,0,0,0,0,0
1667,L68565,L,300.35,310.9,1364,36.89,87,0,0,0,0,0,0
1668,H65342,H,300.48,312.33,1517,27.59,250,0,0,0,0,0,0
1669,L52723,L,300.57,310.94,1839,28.08,81,0,0,0,0,0,0
1670,M45572,M,298.08,308.13,1775,36.65,24,0,0,0,0,0,0
1671,L27610,L,301.35,312.47,1175,49.22,88,0,0,0,0,0,0
1672,M44052,M,301.43,312.06,1396,36.11,104,0,0,0,0,0,0
1673,M97063,M,297.49,306.98,1705,18.56,24,1,0,0,1,0,0
1674,M47550,M,297.07,309.59,1531,45.21,219,1,1,0,0,0,0
1675,M64033,M,300.0,310.07,1532,34.11,157,0,0,0,0,0,0
1676,L39011,L,303.58,314.0,1253,46.97,182,0,0,0,0,0,0
1677,L44764,L,303.4,314.0,1401,31.58,88,0,0,0,0,0,0
1678,L63533,L,301.13,310.57,1291,39.86,151,0,0,0,0,0,0
1679,L34064,L,298.54,308.24,1237,39.59,249,0,0,0,0,0,0
1680,M59581,M,301.77,312.17,1309,29.18,231,0,0,0,0,0,0
1681,L38702,L,299.1,308.93,1368,32.38,126,0,0,0,0,0,0
1682,H95701,H,298.46,310.89,1398,40.83,166,0,0,0,0,0,0
1683,M18631,M,295.71,306.21,1383,44.51,204,1,1,0,0,0,0
1684,M97388,M,300.2,311.79,1719,27.64,1,0,0,0,0,0,0
1685,L80043,L,298.74,309.95,1372,29.21,161,0,0,0,0,0,0
1686,M76063,M,300.19,311.16,1792,29.13,15,0,0,0,0,0,0
1687,H38981,H,295.4,306.14,1448,47.28,175,0,0,0,0,0,0
1688,L45764,L,300.34,312.28,1614,27.16,151,0,0,0,0,0,0
1689,M60513,M,295.14,305.01,1620,35.49,177,0,0,0,0,0,0
1690,M76198,M,302.18,314.0,1373,34.83,129,0,0,0,0,0,0
1691,L34940,L,301.04,310.46,1476,49.77,220,0,0,0,0,0,0
1692,L81792,L,299.44,310.92,1444,34.64,38,0,0,0,0,0,0
1693,L38432,L,301.13,310.42,1602,41.68,102,0,0,0,0,0,0
1694,L18367,L,298.04,308.43,1512,47.52,208,0,0,0,0,0,0
1695,L35511,L,300.14,310.94,1400,56.69,186,0,0,0,0,0,0
1696,L18573,L,301.59,311.8,1556,24.36,150,0,0,0,0,0,0
1697,L25582,L,295.0,305.52,1596,23.35,11,0,0,0,0,0,0
1698,L15378,L,299.11,308.42,1868,39.61,76,0,0,0,0,0,0
1699,H75296,H,299.95,309.67,1547,46.3,68,0,0,0,0,0,0
1700,L23500,L,299.61,310.81,1537,31.53,142,0,0,0,0,0,0
1701,H75841,H,302.91,313.64,1612,6.78,244,1,0,0,1,0,0
1702,L31881,L,297.75,307.76,1364,42.85,59,0,0,0,0,0,0
1703,L80233,L,298.76,310.78,1224,29.04,63,0,0,0,0,0,0
1704,L61542,L,296.17,305.65,1479,30.73,129,0,0,0,0,0,0
1705,L75285,L,303.02,313.36,1728,34.66,197,0,0,0,0,0,0
1706,L69547,L,299.51,309.7,1757,35.18,63,0,0,0,0,0,0
1707,M72151,M,299.12,310.44,1197,66.81,163,0,0,0,0,0,0
1708,L17222,L,299.9,310.64,1655,31.4,214,0,0,0,0,0,0
1709,M17933,M,301.27,311.86,1168,37.08,12,0,0,0,0,0,0
1710,M93385,M,300.69,309.55,1618,43.54,1,0,0,0,0,0,0
1711,L99772,L,304.5,314.0,1607,39.02,119,0,0,0,0,0,0
1712,L88437,L,300.91,311.39,1225,42.54,4,0,0,0,0,0,0
1713,M16940,M,299.07,309.89,1715,33.67,39,0,0,0,0,0,0
1714,L94590,L,298.88,308.83,1849,28.06,207,0,0,0,0,0,0
1715,L69145,L,299.21,309.01,1524,44.11,191,0,0,0,0,0,0
1716,H53610,H,297.0,309.2,1560,52.21,38,0,0,0,0,0,0
1717,L67520,L,300.08,309.01,1801,26.04,162,0,0,0,0,0,0
1718,M14544,M,301.57,311.21,1332,47.53,184,0,0,0,0,0,0
1719,H64812,H,298.77,310.95,1337,26.47,40,0,0,0,0,0,0
1720,L81610,L,298.39,309.73,1384,30.3,172,0,0,0,0,0,0
1721,L61500,L,303.03,313.41,1542,42.39,161,0,0,0,0,0,0
1722,L49618,L,297.15,309.09,1541,36.52,146,0,0,0,0,0,0
1723,L35444,L,295.86,307.01,1435,28.85,234,1,1,0,0,0,0
1724,L95982,L,297.69,308.63,1481,38.77,125,0,0,0,0,0,0
1725,M66586,M,296.92,307.84,1438,48.6,217,0,0,0,0,0,0
1726,L34789,L,300.77,311.94,1446,25.28,41,0,0,0,0,0,0
1727,L11617,L,299.28,310.48,1397,58.94,106,0,0,0,0,0,0
1728,H13333,H,299.56,312.46,1398,46.85,16,0,0,0,0,0,0
1729,M50002,M,302.31,312.81,1175,56.0,112,0,0,0,0,0,0
1730,M73620,M,298.62,309.15,1495,38.32,34,0,0,0,0,0,0
1731,L97688,L,301.55,311.01,1183,69.59,203,1,0,0,0,1,0
1732,M99627,M,303.02,313.67,1670,42.56,162,0,0,0,0,0,0
1733,L10511,L,299.09,311.65,1434,36.28,100,0,0,0,0,0,0
1734,L47850,L,301.47,313.16,1514,45.02,5,0,0,0,0,0,0
1735,L92172,L,299.52,309.67,1468,31.88,179,0,0,0,0,0,0
1736,M96053,M,301.85,312.58,1491,35.73,73,0,0,0,0,0,0
1737,L41786,L,296.86,306.26,1762,44.43,42,0,0,0,0,0,0
1738,L84356,L,296.71,306.44,1292,48.65,150,0,0,0,0,0,0
1739,L46244,L,299.22,310.07,1243,53.73,210,1,0,0,0,1,0
1740,L84714,L,298.22,308.43,1556,47.57,115,0,0,0,0,0,0
1741,M77261,M,298.97,308.62,1446,45.06,170,0,0,0,0,0,0
1742,M28477,M,299.56,310.75,1600,28.55,180,0,0,0,0,0,0
1743,M56533,M,301.44,312.06,1664,48.73,71,0,0,0,0,0,0
1744,L44469,L,299.18,308.32,1336,48.43,72,0,0,0,0,0,0
1745,L18496,L,298.35,306.98,1644,39.97,194,0,0,0,0,0,0
1746,L22270,L,299.3,309.43,1351,43.0,96,0,0,0,0,0,0
1747,L86008,L,298.46,307.57,1548,47.28,193,0,0,0,0,0,0
1748,L30724,L,298.13,306.96,1312,64.56,161,0,0,0,0,0,0
1749,M40416,M,296.77,308.6,1559,33.31,162,0,0,0,0,0,0
1750,L45575,L,300.14,310.74,1531,47.38,209,1,1,0,0,0,0
1751,L91190,L,298.86,309.3,1336,43.24,154,0,0,0,0,0,0
1752,L86614,L,301.93,312.44,1290,22.22,240,1,0,0,1,0,0
1753,L83108,L,297.11,306.67,1670,22.26,235,1,1,0,0,0,0
1754,L27408,L,298.92,310.03,1453,43.6,154,0,0,0,0,0,0
1755,H29359,H,303.63,314.0,1717,41.79,229,1,1,0,0,0,0
1756,M18698,M,298.12,308.06,1437,45.94,191,0,0,0,0,0,0
1757,H80392,H,299.53,309.62,1769,38.61,38,0,0,0,0,0,0
1758,L49492,L,297.57,307.04,1364,69.19,187,1,0,0,1,1,0
1759,L84781,L,297.3,307.6,1800,36.03,208,1,1,0,0,0,0
1760,L53634,L,303.09,313.55,1566,34.16,72,0,0,0,0,0,0
1761,L52864,L,300.34,310.61,1607,34.53,95,0,0,0,0,0,0
1762,M47355,M,300.27,311.02,1354,59.6,150,0,0,0,0,0,0
1763,L47690,L,296.61,307.23,1666,23.48,235,1,1,0,0,0,0
1764,L47814,L,300.72,311.65,1673,44.86,77,0,0,0,0,0,0
1765,L41645,L,302.31,313.96,1477,38.96,10,0,0,0,0,0,0
1766,L94814,L,302.3,313.59,1168,38.86,3,0,0,0,0,0,0
1767,M82739,M,301.34,312.99,1335,27.37,50,0,0,0,0,0,0
1768,L66630,L,297.74,307.59,1335,58.82,37,0,0,0,0,0,0
1769,L58171,L,300.63,310.82,1616,27.86,50,0,0,0,0,0,0
1770,L31658,L,301.34,312.69,1451,40.09,47,0,0,0,0,0,0
1771,L25797,L,296.41,307.78,1455,29.79,207,0,0,0,0,0,0
1772,M68799,M,297.76,307.78,1433,59.63,35,0,0,0,0,0,0
1773,M62236,M,301.78,313.09,1799,32.62,24,0,0,0,0,0,0
1774,H16265,H,301.75,311.51,1543,24.63,132,0,0,0,0,0,0
1775,M82134,M,296.9,308.08,1571,32.57,73,0,0,0,0,0,0
1776,L92678,L,301.59,312.26,1424,54.27,68,0,0,0,0,0,0
1777,M63494,M,300.19,309.51,1530,28.31,104,0,0,0,0,0,0
1778,L62268,L,301.56,311.83,1359,38.34,81,0,0,0,0,0,0
1779,L36998,L,298.73,311.61,1597,46.53,118,0,0,0,0,0,0
1780,M71339,M,301.29,312.19,1329,46.81,22,0,0,0,0,0,0
1781,L24306,L,301.69,314.0,1669,23.86,229,0,0,0,0,0,0
1782,H74006,H,299.3,308.55,1403,43.13,13,0,0,0,0,0,0
1783,L57345,L,300.04,311.49,1706,32.31,179,0,0,0,0,0,0
1784,M21885,M,298.7,306.87,1878,30.9,86,0,0,0,0,0,0
1785,M53826,M,303.3,314.0,1535,46.15,124,0,0,0,0,0,0
1786,M65597,M,299.76,311.09,1771,34.3,47,0,0,0,0,0,0
1787,M17443,M,298.16,309.69,1670,33.51,98,0,0,0,0,0,0
1788,M27084,M,298.57,308.47,1277,43.27,56,0,0,0,0,0,0
1789,L99447,L,300.25,311.99,1555,46.77,160,0,0,0,0,0,0
1790,L14383,L,301.51,311.67,1625,28.91,37,0,0,0,0,0,0
1791,L44361,L,297.33,307.86,1643,15.98,192,1,0,0,1,0,0
1792,M90294,M,303.7,313.96,1567,34.5,5,0,0,0,0,0,0
1793,L71331,L,300.62,310.18,1565,40.08,148,0,0,0,0,0,0
1794,M30529,M,300.93,313.2,1536,33.42,26,0,0,0,0,0,0
1795,L68574,L,299.81,310.55,1559,31.93,68,0,0,0,0,0,0
1796,L98627,L,300.04,311.83,1315,39.61,218,0,0,0,0,0,0
1797,M40932,M,299.7,311.45,1492,38.15,249,0,0,0,0,0,0
1798,L11908,L,302.04,311.77,1273,30.39,235,0,0,0,0,0,0
1799,L40358,L,299.98,311.9,1445,46.19,133,0,0,0,0,0,0
1800,L40412,L,301.53,312.74,1429,13.41,39,1,0,0,1,0,0
1801,H93710,H,299.13,308.79,1417,45.89,152,0,0,0,0,0,0
1802,M91032,M,300.39,311.54,1346,45.91,242,0,0,0,0,0,0
1803,L12928,L,298.39,308.07,1583,40.68,68,0,0,0,0,0,0
1804,L75158,L,302.43,314.0,1478,20.08,189,1,0,0,1,0,0
1805,L40632,L,298.33,309.85,1459,42.14,78,0,0,0,0,0,0
1806,M42309,M,299.35,309.98,1282,38.64,45,0,0,0,0,0,0
1807,M19280,M,299.37,311.33,1481,54.17,175,0,0,0,0,0,0
1808,L50449,L,299.29,308.41,1741,35.88,165,0,0,0,0,0,0
1809,L97171,L,301.44,311.4,1744,23.19,60,0,0,0,0,0,0
1810,L36957,L,299.37,309.81,1602,20.65,80,1,0,0,1,0,0
1811,M46895,M,302.79,314.0,1482,32.72,16,0,0,0,0,0,0
1812,M80499,M,298.36,307.99,1636,42.14,47,0,0,0,0,0,0
1813,L31695,L,300.34,309.33,1415,52.16,32,0,0,0,0,0,0
1814,L84893,L,298.45,307.7,1481,40.44,17,0,0,0,0,0,0
1815,L73123,L,300.84,312.45,1401,41.7,35,0,0,0,0,0,0
1816,H35176,H,299.97,310.07,1699,30.93,53,0,0,0,0,0,0
1817,L28409,L,299.69,310.23,1675,34.02,130,0,0,0,0,0,0
1818,M66967,M,302.38,313.84,1529,48.87,88,0,0,0,0,0,0
1819,M10987,M,298.69,309.23,1847,28.34,98,0,0,0,0,0,0
1820,L64462,L,301.17,312.08,1609,41.47,108,0,0,0,0,0,0
1821,L77501,L,298.46,309.7,1599,31.1,147,0,0,0,0,0,0
1822,L36015,L,300.23,310.49,1580,45.45,99,0,0,0,0,0,0
1823,M76404,M,297.61,308.14,1308,50.15,106,0,0,0,0,0,0
1824,M60281,M,298.67,309.62,1374,51.83,30,0,0,0,0,0,0
1825,M47146,M,299.84,311.4,1525,55.24,20,0,0,0,0,0,0
1826,L58231,L,303.63,313.54,1527,13.3,127,1,0,0,1,0,0
1827,L39032,L,300.2,307.88,1641,41.49,100,0,0,0,0,0,0
1828,H38305,H,303.31,314.0,1415,45.25,33,0,0,0,0,0,0
1829,M64306,M,300.44,312.07,1548,41.16,229,0,0,0,0,0,0
1830,L98176,L,299.23,310.13,1551,39.16,184,0,0,0,0,0,0
1831,H28318,H,303.08,314.0,1558,38.98,164,0,0,0,0,0,0
1832,M23246,M,300.87,311.01,1538,40.39,0,0,0,0,0,0,0
1833,L43844,L,298.71,309.91,1282,54.8,56,0,0,0,0,0,0
1834,M42602,M,300.94,312.49,1168,59.19,54,0,0,0,0,0,0
1835,M31584,M,299.41,310.17,1365,41.7,158,0,0,0,0,0,0
1836,M25169,M,296.02,309.21,1439,37.94,22,0,0,0,0,0,0
1837,L35968,L,301.87,311.01,1323,43.53,106,0,0,0,0,0,0
1838,L16385,L,302.19,313.05,1525,33.69,101,0,0,0,0,0,0
1839,H83758,H,303.68,313.2,1731,47.83,112,0,0,0,0,0,0
1840,L35444,L,300.84,312.42,1666,23.47,74,0,0,0,0,0,0
1841,L72497,L,299.5,308.62,1619,42.02,230,0,0,0,0,0,0
1842,L15362,L,301.67,311.04,1712,39.68,47,0,0,0,0,0,0
1843,L18250,L,301.7,311.77,1369,36.31,147,0,0,0,0,0,0
1844,M78354,M,303.28,314.0,1453,42.36,100,0,0,0,0,0,0
1845,H46368,H,299.91,310.02,1646,45.81,134,0,0,0,0,0,0
1846,L54109,L,299.67,309.78,1450,36.26,98,0,0,0,0,0,0
1847,L90589,L,298.57,309.09,1459,52.14,129,0,0,0,0,0,0
1848,L67645,L,301.07,311.53,1870,39.2,250,0,0,0,0,0,0
1849,M66997,M,296.9,309.09,1552,30.36,224,0,0,0,0,0,0
1850,M37426,M,301.55,312.94,1852,22.36,39,0,0,0,0,0,0
1851,L49023,L,301.18,311.55,1207,49.44,151,0,0,0,0,0,0
1852,M69267,M,301.17,313.97,1421,27.81,102,0,0,0,0,0,0
1853,M34892,M,300.28,311.47,1609,9.75,201,1,0,0,1,0,0
1854,M69232,M,303.07,312.8,1552,32.4,109,0,0,0,0,0,0
1855,H69225,H,301.74,312.7,1168,75.72,8,1,0,0,1,0,0
1856,L26007,L,298.79,310.02,1494,34.07,121,0,0,0,0,0,0
1857,M89777,M,298.82,308.83,1980,31.68,42,0,0,0,0,0,0
1858,L54858,L,298.24,307.89,1579,42.62,96,0,0,0,0,0,0
1859,M55073,M,301.1,311.89,1644,34.5,50,0,0,0,0,0,0
1860,M99438,M,298.0,308.34,1419,37.01,212,0,0,0,0,0,0
1861,M93098,M,302.17,314.0,1579,47.44,205,0,0,0,0,0,0
1862,M30239,M,302.65,314.0,1533,37.75,49,0,0,0,0,0,0
1863,L72969,L,298.24,308.3,1736,32.24,86,0,0,0,0,0,0
1864,L23065,L,299.63,310.75,1731,39.71,203,0,0,0,0,0,0
1865,H51291,H,300.03,312.0,1608,26.45,149,0,0,0,0,0,0
1866,H48805,H,301.77,311.07,1548,25.33,91,0,0,0,0,0,0
1867,L28443,L,303.22,312.9,1233,27.6,90,0,0,0,0,0,0
1868,L19290,L,296.63,307.32,1226,53.35,9,0,0,0,0,0,0
1869,L10211,L,299.36,310.1,1550,35.46,209,0,0,0,0,0,0
1870,M93634,M,299.47,310.12,1692,40.85,215,0,0,0,0,0,0
1871,M29072,M,297.2,307.59,1775,32.7,194,0,0,0,0,0,0
1872,L53290,L,299.03,309.4,1375,27.39,131,0,0,0,0,0,0
1873,L95186,L,300.86,311.94,1263,41.32,29,0,0,0,0,0,0
1874,M25115,M,299.44,311.28,1703,41.19,212,1,1,0,0,0,0
1875,M15149,M,296.91,307.13,1388,38.56,149,0,0,0,0,0,0
1876,L51992,L,304.5,314.0,1251,59.38,91,0,0,0,0,0,0
1877,L27716,L,300.53,313.19,1446,35.13,200,0,0,0,0,0,0
1878,L23621,L,300.22,312.25,1443,46.85,107,1,0,0,0,0,1
1879,L16820,L,297.8,309.13,1773,17.92,40,1,0,0,1,0,0
1880,L52800,L,300.52,313.23,1691,31.97,232,1,1,0,0,0,0
1881,M65043,M,299.67,310.08,1402,36.91,143,0,0,0,0,0,0
1882,M40399,M,296.22,306.09,1787,20.86,183,0,0,0,0,0,0
1883,M24002,M,297.86,308.03,1558,47.01,228,0,0,0,0,0,0
1884,M53098,M,301.59,311.29,1726,27.88,68,0,0,0,0,0,0
1885,L55511,L,303.89,314.0,1774,26.3,141,0,0,0,0,0,0
1886,L63243,L,300.73,311.73,1488,51.04,179,0,0,0,0,0,0
1887,L38750,L,302.21,313.11,1638,36.39,13,0,0,0,0,0,0
1888,L27310,L,299.69,310.38,1462,46.84,174,0,0,0,0,0,0
1889,M65398,M,299.83,310.66,1702,19.33,15,1,0,0,1,0,0
1890,H92542,H,302.18,314.0,1551,29.56,102,0,0,0,0,0,0
1891,L85207,L,303.33,314.0,1708,51.05,42,1,0,0,1,0,0
1892,L54345,L,302.6,314.0,1809,38.43,67,0,0,0,0,0,0
1893,M61843,M,297.87,308.76,1634,25.66,254,0,0,0,0,0,0
1894,L20222,L,299.87,308.95,1518,39.86,164,0,0,0,0,0,0
1895,L99322,L,300.56,309.44,1521,28.29,141,0,0,0,0,0,0
1896,M41509,M,299.48,312.26,1168,66.15,40,0,0,0,0,0,0
1897,M10386,M,300.78,310.94,1407,17.62,86,1,0,0,1,0,0
1898,L74334,L,301.64,311.72,1703,35.96,72,0,0,0,0,0,0
1899,L77170,L,302.01,312.95,1710,35.7,151,0,0,0,0,0,0
1900,M50878,M,303.37,314.0,1403,29.48,74,0,0,0,0,0,0
1901,L79669,L,299.34,310.72,1565,34.12,219,1,1,0,0,0,0
1902,L48349,L,297.27,309.75,1501,41.76,18,0,0,0,0,0,0
1903,M31952,M,300.72,312.92,1659,19.18,210,1,0,0,1,0,0
1904,L31529,L,303.77,313.66,1933,20.16,11,0,0,0,0,0,0
1905,M81303,M,299.05,310.71,1663,33.13,46,0,0,0,0,0,0
1906,L51521,L,301.37,311.69,1414,32.07,97,0,0,0,0,0,0
1907,H28383,H,301.39,311.95,1521,33.31,139,0,0,0,0,0,0
1908,L14901,L,300.38,309.99,1787,31.9,130,0,0,0,0,0,0
1909,L52889,L,300.01,309.02,1281,34.53,157,0,0,0,0,0,0
1910,L24633,L,298.15,308.82,1424,39.96,185,0,0,0,0,0,0
1911,L72244,L,295.44,305.18,1663,37.02,110,0,0,0,0,0,0
1912,M29163,M,297.78,309.4,1768,38.72,173,0,0,0,0,0,0
1913,H69019,H,299.22,309.64,1645,23.99,178,0,0,0,0,0,0
1914,L20707,L,302.19,313.2,1426,33.87,98,0,0,0,0,0,0
1915,L98112,L,299.79,311.86,1632,40.28,14,0,0,0,0,0,0
1916,M93597,M,298.96,308.18,1610,22.41,42,0,0,0,0,0,0
1917,M55101,M,298.22,308.19,1598,36.8,149,0,0,0,0,0,0
1918,L54706,L,301.31,312.19,1518,38.02,8,0,0,0,0,0,0
1919,L87084,L,302.72,313.73,1545,13.11,91,1,0,0,1,0,0
1920,L25115,L,302.13,313.93,1372,36.61,92,0,0,0,0,0,0
1921,M85379,M,301.21,312.78,1981,31.31,38,1,0,0,0,0,1
1922,L49979,L,297.05,307.85,1563,34.71,230,0,0,0,0,0,0
1923,M50641,M,299.3,310.3,1634,30.91,230,0,0,0,0,0,0
1924,L79377,L,303.89,314.0,1496,39.8,208,1,1,0,0,0,0
1925,M16416,M,302.24,311.47,1687,42.36,67,0,0,0,0,0,0
1926,L20633,L,296.92,307.47,1301,49.95,56,0,0,0,0,0,0
1927,L10594,L,299.89,310.84,1221,38.06,195,0,0,0,0,0,0
1928,L24393,L,300.73,311.88,1530,23.8,6,0,0,0,0,0,0
1929,M45380,M,298.48,308.25,1905,33.99,1,0,0,0,0,0,0
1930,L55056,L,295.38,305.0,1752,23.07,53,0,0,0,0,0,0
1931,L98279,L,300.2,310.66,1389,35.79,164,0,0,0,0,0,0
1932,L14861,L,298.42,311.09,1628,36.96,201,1,1,0,0,0,0
1933,L46126,L,298.43,308.31,1421,51.9,209,0,0,0,0,0,0
1934,M90382,M,299.29,311.16,1612,46.98,155,0,0,0,0,0,0
1935,M43682,M,299.73,312.02,1626,35.78,58,0,0,0,0,0,0
1936,M28228,M,299.98,310.73,1702,29.38,173,0,0,0,0,0,0
1937,L34009,L,298.23,308.25,1253,32.0,190,0,0,0,0,0,0
1938,M10094,M,299.56,310.77,1307,65.29,162,0,0,0,0,0,0
1939,L90636,L,296.49,307.38,1521,34.93,98,0,0,0,0,0,0
1940,L62221,L,300.62,310.46,1349,49.66,114,0,0,0,0,0,0
1941,L27430,L,295.0,305.04,1335,45.02,93,0,0,0,0,0,0
1942,L45571,L,299.42,310.57,1584,31.69,212,1,1,0,0,0,0
1943,M64486,M,301.84,313.47,1370,36.19,57,0,0,0,0,0,0
1944,M72294,M,297.88,308.26,1941,19.31,216,0,0,0,0,0,0
1945,M30860,M,301.43,312.06,1439,50.99,140,0,0,0,0,0,0
1946,L82812,L,302.31,313.68,1486,37.39,70,0,0,0,0,0,0
1947,L76087,L,295.0,305.53,1589,48.96,133,0,0,0,0,0,0
1948,L18486,L,299.7,310.1,1264,40.26,211,1,1,0,0,0,0
1949,L93063,L,295.0,305.0,1627,32.6,44,0,0,0,0,0,0
1950,L59607,L,299.76,309.69,1596,25.72,132,0,0,0,0,0,0
1951,L19745,L,299.99,313.35,1472,35.89,165,0,0,0,0,0,0
1952,L88533,L,295.03,305.54,1584,24.95,171,0,0,0,0,0,0
1953,L28330,L,303.85,314.0,1612,39.12,231,0,0,0,0,0,0
1954,M50078,M,300.57,312.96,1793,32.81,24,0,0,0,0,0,0
1955,H65332,H,298.3,308.82,1985,39.51,81,0,0,0,0,0,0
1956,H64532,H,302.93,314.0,1344,27.1,215,0,0,0,0,0,0
1957,M53336,M,296.41,307.21,1301,57.41,142,0,0,0,0,0,0
1958,L18070,L,297.54,306.63,1553,27.86,199,0,0,0,0,0,0
1959,M11320,M,295.4,305.0,1168,53.28,76,0,0,0,0,0,0
1960,M99043,M,303.6,314.0,1652,24.75,166,0,0,0,0,0,0
1961,L48921,L,300.66,310.94,1555,38.71,47,0,0,0,0,0,0
1962,L16589,L,301.32,313.91,1601,13.32,51,1,0,0,1,0,0
1963,M74409,M,300.6,311.07,1480,32.22,59,0,0,0,0,0,0
1964,L25589,L,301.15,313.8,1581,37.2,216,0,0,0,0,0,0
1965,L46375,L,300.16,310.38,1620,50.89,22,0,0,0,0,0,0
1966,L53085,L,300.54,313.15,1571,17.07,196,1,0,0,1,0,0
1967,L70840,L,300.22,311.42,1293,44.29,51,0,0,0,0,0,0
1968,L53200,L,298.78,310.05,1566,31.84,85,0,0,0,0,0,0
